Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,_deal_key,_qa_missing_value,_qa_missing_sector
Subaru,OWNER_003,COMPANY186,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Mining,2025-05-14,Subaru | COMPANY186,True,False
Subaru,OWNER_003,COMPANY101,Dead,,,3670200.0,2025-07-04,I. POC,Pure Service,Railways,2025-05-14,Subaru | COMPANY101,False,False
Subaru,OWNER_003,COMPANY066,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14,Subaru | COMPANY066,True,False
Subaru,OWNER_003,COMPANY198,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Others,2025-05-14,Subaru | COMPANY198,True,False
Subaru,OWNER_003,COMPANY176,Dead,,,,2025-06-30,N. Not relevant at the moment,Pure Service,Renewables,2025-05-14,Subaru | COMPANY176,True,False
Subaru,OWNER_003,COMPANY145,Dead,,,54441300.0,2025-07-28,L. Project Lost,Pure Service,Renewables,2025-05-14,Subaru | COMPANY145,False,False
Subaru,OWNER_003,COMPANY058,Dead,,,305850.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14,Subaru | COMPANY058,False,False
Subaru,OWNER_003,COMPANY155,Dead,,,,2025-06-30,N. Not relevant at the moment,Pure Service,Others,2025-05-14,Subaru | COMPANY155,True,False
Kaneki,OWNER_003,COMPANY133,Dead,,,550530.0,2025-07-28,M. Projects On Hold,Pure Service,Renewables,2025-05-14,Kaneki | COMPANY133,False,False
Inosuke,OWNER_003,COMPANY018,Dead,,,550530.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-15,Inosuke | COMPANY018,False,False
Touka,OWNER_003,COMPANY114,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Renewables,2025-05-15,Touka | COMPANY114,True,False
Jotaro,OWNER_001,COMPANY073,Dead,,,,2024-11-17,L. Project Lost,,Mining,2024-08-09,Jotaro | COMPANY073,True,False
Dio,OWNER_006,COMPANY167,Dead,,,,2025-06-23,L. Project Lost,,Others,2024-08-12,Dio | COMPANY167,True,False
Josuke,OWNER_006,COMPANY122,Dead,,,,2024-11-18,L. Project Lost,,Renewables,2024-08-16,Josuke | COMPANY122,True,False
Josuke,OWNER_003,COMPANY075,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-09,Josuke | COMPANY075,True,False
Giorno,OWNER_002,COMPANY098,Dead,,,751473450.0,2025-05-29,L. Project Lost,,Powerline,2025-05-20,Giorno | COMPANY098,False,False
Armin,OWNER_006,COMPANY065,Dead,,,,2025-06-30,B. Sales Qualified Leads,,Renewables,2025-05-27,Armin | COMPANY065,True,False
Erwin,OWNER_003,COMPANY200,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Renewables,2025-05-27,Erwin | COMPANY200,True,False
Shoto Todoroki,OWNER_002,COMPANY148,Dead,,,,2025-07-31,O. Not Relevant at all,,Powerline,2025-06-10,Shoto Todoroki | COMPANY148,True,False
Deku,OWNER_003,COMPANY191,Dead,,,,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11,Deku | COMPANY191,True,False
Erwin,OWNER_003,COMPANY152,Dead,,,1223400.0,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11,Erwin | COMPANY152,False,False
Erwin,OWNER_003,COMPANY034,Dead,,,,2025-07-31,O. Not Relevant at all,Pure Service,Others,2025-06-19,Erwin | COMPANY034,True,False
Erwin,OWNER_006,COMPANY181,Dead,,,,2025-07-31,I. POC,,Renewables,2025-06-24,Erwin | COMPANY181,True,False
Erwin,OWNER_006,COMPANY023,Dead,,,,2025-07-31,E. Proposal/Commercials Sent,,Renewables,2025-06-24,Erwin | COMPANY023,True,False
Erwin,OWNER_006,COMPANY128,Dead,,,,2025-08-31,C. Demo Done,,Mining,2025-07-01,Erwin | COMPANY128,True,False
Rimuru,OWNER_003,COMPANY133,Dead,,,244680.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28,Rimuru | COMPANY133,False,False
Mugen,OWNER_003,COMPANY133,Dead,,,305850.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28,Mugen | COMPANY133,False,False
Shinra,OWNER_003,COMPANY030,Dead,,,367020.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28,Shinra | COMPANY030,False,False
